<p class="cnnBodyText"><br/>
###START
Name: WOLF BLITZER ( CNN ANCHOR) ; Gender: male ; Race:  caucasian ; Dialogue:   Ivan Watson, with that report thanks very much.  That's it for me.  Erin Burnett "OutFront" starts right now.
Name: ERIN BURNETT ( CNN ANCHOR) ; Gender: female ; Race:  caucasian ; Dialogue:   Good evening, I'm Erin Burnett.  OutFront tonight breaking news.  Defiant and speaking out, Trump's former campaign aide Sam Nunberg refusing to comply with the grand jury subpoena in the Russia investigation.  The Subpoena right here.  And he's challenging Robert Mueller to arrest him.  But Nunberg is going to be my guest onset right in just a moment to talk about this.
We have the subpoena that Mueller's team issued him.  Here it is, it's two pages.  And if Sam Nunberg was not a household name, he is now, tonight he is.  Nunberg worked as advisor for the Trump campaign until August of 2015.  He was fired then from the campaign for what they said where offensive and racist messages posted online.
Tonight, he is refusing to comply with the Mueller subpoena.  He says he doesn't want to waste his time turning over every single message that he sent and received during the campaign including things like text messages and specially one from his mentor Roger Stone.
Nunberg has already talked to Mueller's investigator and said today the he thinks Mueller's team may have something on the President. Nunberg is also accusing former campaign advisor Carter Page of colluding with the Russians.  And he's saying President Trump himself knew about that Trump Tower meeting, we all know about that meeting, right?  The one between Trump's son, his campaign officials, a Russian lawyer, Jared Kushner, they were all in the room, right?  They were promised dirt of Hillary Clinton.  Sam Nunberg is saying the President knew about it.  He of course -- they have all said he didn't.
So we're going to talk to Sam Nunberg about all of these accusations and the evidence that he has.  Over at the White House today Press Secretary Sarah Sanders was asked about Sam Nunberg and tried to shut him down.
(BEGIN VIDEO CLIP)
Name: UNIDENTIFIED FEMALE ; Gender: male ; Race:  other,african ; Dialogue:   You just said on MSNBC moments ago I think he, meaning the President, may have done something during the election but I don't know that for sure.  Your reaction.
Name: SARAH SANDERS ( WHITE HOUSE PRESS SECRETARY) ; Gender: female ; Race:  african ; Dialogue:   I definitely think he doesn't elect for sure because he's incorrect.  As we've said many times before there was no collusion with the Trump campaign.  Anything further on what his actions are, he hasn't worked at the White House. So I certainly can't speak to him or the lack of knowledge that he clearly has.
(END VIDEO CLIP)
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   All right, Sam Nunberg will be here in just a moment.  I want to go to Jeff Zeleny though, OutFront, first at the White House. Jeff, how our White House officials responding to Nunberg's comments and the point that he is making behind the scenes tonight?
Name: JEFF ZELENY ( CNN SENIOR WHITE HOUSE CORRESPONDENT) ; Gender: male ; Race:  caucasian ; Dialogue:   Erin good evening. You heard the Press Secretary Sarah Sanders say right there, look he doesn't work here at the White House and there is a bit of anger from White House officials who say look he has not worked for President Trump even in the general election campaign.  He didn't make it through the summer of 2015.  That said they are very concerned.
And I talked to several officials who said they could not stop watching all of these interviews this afternoon it is -- you know, it was bizarre.  It was interesting.  It was something that they could not, you know, control.  And that of course is the biggest worry here.
Now, the question is it is Monday evening, Erin.  That subpoena has him testifying on Friday.  How does this week play out? The White House did not want to have this in the headlines this week.  They wanted to talk about anything else except this.  They thought they turned the page from this of course this investigation continues to dominate everything here.  But they do point out again and again that he doesn't have the President's interest at heart and He was fired from the campaign.  That said it is something that everyone here has been watching.  I suspect they'll be watching the interview coming up, Erin.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   All right.  Thank you very much Jeff Zeleny.  And so now let's go to Sam Nunberg.  He's here with me tonight on set.  Former Trump Campaign Advisor, Sam, thank you.
Name: SAM NUNBERG ( FORMER TRUMP AIDE.) ; Gender: male ; Race:  african ; Dialogue:   Thank you.  Well, you know, I was a campaign advisor from 2011 to 2015.  When everybody was laughing at Donald Trump. So for Sarah --
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   You were the campaign advisor from 2011?  So he was thinking about running that long?  It was that explicit?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.  So for Sarah Huckabee to start criticizing me, I would say and I know you may not like the way I say it.  She should shut her fat mouth.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   I don't that all I find that, you know, irrelevant.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   It's irrelevant, but I understand, but yes. BURNETT:  But you didn't comment on this one.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   But she says I'm bizarre, I'm bizarre.  Yes, she -- it's pretty bizarre what her father does.  That to me is pretty bizarre.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   OK.  We won't get into it.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK, no, no, no, no I don't actually don't think she used the word bizarre.  She said I think he definitely doesn't know that for sure because he's incorrect.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I don't no for sure.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   She's talking about what the wrong doing is I don't think she used the word bizarre at all to refer to you.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   No, but she had her people do it on background for the interview.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK, but what does her appearance have to do with it?  I just want to be direct about that.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I didn't mean -- no.  I meant that she should shut her mouth about talking about me.  That's what I meant.  Not about here appearance.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK.  So, look, I wasn't planning on asking about this, this early in the interview --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes ma'am.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   -- but because you talked about her fat mouth, I want to ask you about this because it is important.  You've done six interviews in the past four hours, right you've been busy.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Six?  Maybe six, yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Six is our count, OK.  So look, you know, bizarre was a word that some White House officials were using to describe some of your interviews.  Nuts, is another one.  OK, so that's where the word came from so that's probably where you got it.
Name: NUNBEERG ; Gender: female ; Race:  latino,caucasian ; Dialogue:   But, you know, Erin -- but Erin I would like whoever said that to say it on the record.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK, but let me ask you this.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Because you talked about her fat mouth.  You called her a fat slob in another interview that you did on New York One.  I reached out a Trump ally before you came on to say what's your -- what do you think about Sam, what would you say?  And essentially this person told me, I just want to be direct because he's not the only one to say it. NUNBERG:  Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   You're drunk or off your meds.  At least half a dozen other CNN reporters have received similar messages.  What do you say to them?  I mean is this a hit job or is there's something wrong?
